order,event,starttime,event_type
0,"Before",'2021-12-03 03:25:00+0000',"Not Stage"
1,"Pre-stream",'2021-12-03 03:30:00+0000',"Not Stage"
2,"VCR 1",'2021-12-03 03:30:35+0000',"VCR"
3,"ON",'2021-12-03 03:32:34+0000',"Live Music"
4,"FIRE",'2021-12-03 03:37:38+0000',"Live Music"
5,"Dope",'2021-12-03 03:41:09+0000',"Live Music"
6,"Live 1",'2021-12-03 03:45:45+0000',"Live Talk"
7,"DNA",'2021-12-03 03:52:05+0000',"Live Music"
8,"VCR 1",'2021-12-03 03:55:58+0000',"VCR"
9,"Blue & Grey",'2021-12-03 04:01:11+0000',"Live Music"
10,"Black Swan",'2021-12-03 04:05:41+0000',"Live Music"
11,"Live 2",'2021-12-03 04:10:40+0000',"Live Talk"
12,"Blood Sweat & Tears",'2021-12-03 04:14:00+0000',"Live Music"
13,"Fake Love",'2021-12-03 04:14:45+0000',"Live Music"
14,"VRC 2",'2021-12-03 04:19:06+0000',"VCR"
15,"Life Goes On",'2021-12-03 04:24:30+0000',"Live Music"
16,"Boy With Luv",'2021-12-03 04:28:12+0000',"Live Music"
17,"Live 3",'2021-12-03 04:32:09+0000',"Live Talk"
18,"Dynamite",'2021-12-03 04:33:56+0000',"Live Music"
19,"preButter",'2021-12-03 04:37:10+0000',"Live Music"
20,"Butter",'2021-12-03 04:37:41+0000',"Live Music"
21,"VCR 3",'2021-12-03 04:40:46+0000',"VCR"
22,"Airplane pt. 2",'2021-12-03 04:45:56+0000',"Live Music"
23,"Baepsae",'2021-12-03 04:47:49+0000',"Live Music"
24,"Dis-ease",'2021-12-03 04:49:23+0000',"Live Music"
25,"Telepathy",'2021-12-03 04:53:26+0000',"Live Music"
26,"Stay",'2021-12-03 04:57:34+0000',"Live Music"
27,"So What",'2021-12-03 04:59:32+0000',"Live Music"
28,"Live 4",'2021-12-03 05:02:35+0000',"Live Talk"
29,"I Need U",'2021-12-03 05:05:21+0000',"Live Music"
30,"Save Me",'2021-12-03 05:06:48+0000',"Live Music"
31,"IDOL",'2021-12-03 05:10:14+0000',"Live Music"
32,"PreEncore Pause",'2021-12-03 05:14:46+0000',"Not Stage"
33,"VCR 4",'2021-12-03 05:23:39+0000',"VCR"
34,"Home",'2021-12-03 05:25:22+0000',"Live Music"
35,"Mikrokosmos",'2021-12-03 05:29:19+0000',"Live Music"
36,"Live 5",'2021-12-03 05:33:14+0000',"Live Talk"
37,"Permission to Dance",'2021-12-03 05:59:06+0000',"Live Music"
38,"End (PtD)",'2021-12-03 06:12:06+0000',"Not Stage"
39,"After",'2021-12-03 06:17:06+0000',"Not Stage" 
