,RT_SubSet,Concert,Last_RT_created_at,Last_RT_id,Last_RT_url,OriTwt_id,language,LastRT_user_followers_count,Last_RT_user_friends_count,Last_RT_user_statuses_count,Last_RT_user_favorites_count,Ori_Twt_user_friends_count,Ori_Twt_user_statuses_count,Ori_Twt_user_followers_count,Last_RT_retweet_count,Last_RT_favorite_count,Last_RT_reply_count,Shout,Tweet Length,Tweet link/media,Lost,Unrelated,Affection,Intensifiers,Self,Members,recording,Stills,Production,Music,Commentary,Army,Anticipation,Fanwork,Information,Stream,Spam,Commercial
0,Top200RTd,PTD_ON1,2021-10-24 12:52:56+00:00,1635079976000000000,https://twitter.com/anyuser/status/1452256796668743681,1452207872616505344,ko,480,1215,34589,28460,5,17264,7887462,39909,121585,4070,False,51,True,,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,Top200RTd,PTD_ON1,2021-10-24 12:53:00+00:00,1635079980000000000,https://twitter.com/anyuser/status/1452256814515605504,1452235813484318720,ko,480,1215,34590,28461,5,17264,7887472,37461,100281,4974,False,51,True,,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,Top200RTd,PTD_ON1,2021-10-24 12:58:05+00:00,1635080285000000000,https://twitter.com/anyuser/status/1452258094340247555,1452232882571792384,und,8468,6837,96323,236022,896,9101,14094,31696,73414,267,False,46,True,,,False,True,False,False,True,True,False,True,False,False,False,False,True,False,False,False
3,Top200RTd,PTD_ON1,2021-10-24 12:53:06+00:00,1635079986000000000,https://twitter.com/anyuser/status/1452256837164847108,1452226242455879680,ko,480,1215,34591,28463,5,17264,7887472,30297,89411,2040,False,56,True,,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,Top200RTd,PTD_ON1,2021-10-24 12:52:01+00:00,1635079921000000000,https://twitter.com/anyuser/status/1452256565117980672,1452217447793180672,en,695,2213,73846,102744,92,10862,241877,26006,75118,118,False,92,True,,,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False
5,Top200RTd,PTD_ON1,2021-10-24 12:50:46+00:00,1635079846000000000,https://twitter.com/anyuser/status/1452256249907748869,1452246395847516160,ko,542,1111,94027,235998,5,17264,7887426,20908,58740,2271,False,51,True,,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6,Top200RTd,PTD_ON1,2021-10-24 12:51:41+00:00,1635079901000000000,https://twitter.com/anyuser/status/1452256480263016459,1452208726665056256,en,3138,4997,37302,26780,336,30211,553780,20271,47925,127,False,66,True,,,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False
7,Top200RTd,PTD_ON1,2021-10-24 12:05:37+00:00,1635077137000000000,https://twitter.com/anyuser/status/1452244889203269646,1452240387658051584,ko,638,1288,22949,8,3,1727,2503543,20220,40605,3251,False,183,False,,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8,Top200RTd,PTD_ON1,2021-10-24 12:51:07+00:00,1635079867000000000,https://twitter.com/anyuser/status/1452256339313496067,1452229487278559232,en,236,560,136735,180741,35,3930,65058,20107,48413,639,False,167,False,,,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False
9,Top200RTd,PTD_ON1,2021-10-24 12:46:18+00:00,1635079578000000000,https://twitter.com/anyuser/status/1452255128757616640,1452221478418755584,und,3048,2480,57486,67794,1419,158398,72622,19698,53042,194,False,43,True,,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
