order,event,starttime,event_type
0,"Before",'2021-10-24 09:25:00+0000',"Not Stage"
1,"Pre-stream",'2021-10-24 09:30:00+0000',"Not Stage"
2,"VCR 1",'2021-10-24 09:32:00+0000',"VCR"
3,"ON",'2021-10-24 09:33:58+0000',"Live Music"
4,"FIRE",'2021-10-24 09:38:59+0000',"Live Music"
5,"Dope",'2021-10-24 09:42:30+0000',"Live Music"
6,"Live 1",'2021-10-24 09:46:57+0000',"Live Talk"
7,"DNA",'2021-10-24 09:53:56+0000',"Live Music"
8,"VCR 2",'2021-10-24 09:57:46+0000',"VCR"
9,"Blue & Grey",'2021-10-24 10:03:00+0000',"Live Music"
10,"Black Swan",'2021-10-24 10:07:29+0000',"Live Music"
11,"Live 2",'2021-10-24 10:12:13+0000',"Live Talk"
12,"Blood Sweat & Tears",'2021-10-24 10:17:12+0000',"Live Music"
13,"Fake Love",'2021-10-24 10:18:06+0000',"Live Music"
14,"VRC 3",'2021-10-24 10:22:18+0000',"VCR"
15,"Life Goes On",'2021-10-24 10:27:42+0000',"Live Music"
16,"Boy With Luv",'2021-10-24 10:31:24+0000',"Live Music"
17,"Live 3",'2021-10-24 10:35:20+0000',"Live Talk"
18,"Dynamite",'2021-10-24 10:38:40+0000',"Live Music"
19,"preButter",'2021-10-24 10:41:59+0000',"Live Music"
20,"Butter",'2021-10-24 10:42:25+0000',"Live Music"
21,"VCR 4",'2021-10-24 10:45:17+0000',"VCR"
22,"Airplane pt. 2",'2021-10-24 10:50:28+0000',"Live Music"
23,"Baepsae",'2021-10-24 10:52:22+0000',"Live Music"
24,"Dis-ease",'2021-10-24 10:53:54+0000',"Live Music"
25,"Telepathy",'2021-10-24 10:57:50+0000',"Live Music"
26,"Stay",'2021-10-24 11:01:07+0000',"Live Music"
27,"So What",'2021-10-24 11:03:07+0000',"Live Music"
28,"Live 4",'2021-10-24 11:06:02+0000',"Live Talk"
29,"I Need U",'2021-10-24 11:08:04+0000',"Live Music"
30,"Save Me",'2021-10-24 11:10:41+0000',"Live Music"
31,"IDOL",'2021-10-24 11:13:54+0000',"Live Music"
32,"PreEncore Pause",'2021-10-24 11:17:22+0000',"Not Stage"
33,"VCR PTD",'2021-10-24 11:25:08+0000',"VCR"
34,"Young Forever",'2021-10-24 11:26:51+0000',"Live Music"
35,"Spring Day",'2021-10-24 11:29:44+0000',"Live Music"
36,"Live 5",'2021-10-24 11:34:43+0000',"Live Talk"
37,"Permission to Dance",'2021-10-24 11:53:00+0000',"Live Music"
38,"End (PtD)",'2021-10-24 11:57:19+0000',"Not Stage"
39,"After",'2021-10-24 12:02:19+0000',"Not Stage"
