,RT_SubSet,Concert,Last_RT_created_at,Last_RT_id,Last_RT_url,OriTwt_id,language,LastRT_user_followers_count,Last_RT_user_friends_count,Last_RT_user_statuses_count,Last_RT_user_favorites_count,Ori_Twt_user_friends_count,Ori_Twt_user_statuses_count,Ori_Twt_user_followers_count,Last_RT_retweet_count,Last_RT_favorite_count,Last_RT_reply_count,Shout,Tweet Length,Tweet link/media,Affection,Intensifiers,Self,Members,recording,Stills,Production,Music,Commentary,Army,Anticipation,Fanwork,Information,Stream,Spam,Commercial
0,Top200RTd,SWZ_D1,2021-06-13 10:24:27+00:00,1623579867000000000,https://twitter.com/anyuser/status/1404053434681028610,1404043683964473344,en,275,654,6677,14903,147,30236,22955,10482,23176,96,False,62,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False
1,Top200RTd,SWZ_D1,2021-06-13 10:03:06+00:00,1623578586000000000,https://twitter.com/anyuser/status/1404053401491574786,1404017863891906560,ko,3,46,2501,3923,183,104760,385941,6857,13497,14,False,58,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
2,Top200RTd,SWZ_D1,2021-06-13 11:19:50+00:00,1623583190000000000,https://twitter.com/anyuser/status/1404048740936151041,1402781807288881152,ko,2225,1707,25023,29852,221,1433,195,6675,21544,71,False,79,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False
3,Top200RTd,SWZ_D1,2021-06-13 09:53:21+00:00,1623578001000000000,https://twitter.com/anyuser/status/1404053394407530499,1403989912043483136,en,34,77,1417,1505,300,31627,1393448,6637,62120,666,False,86,True,False,False,True,False,False,True,False,False,False,True,True,True,False,False,False,False
4,Top200RTd,SWZ_D1,2021-06-13 11:19:36+00:00,1623583176000000000,https://twitter.com/anyuser/status/1404053400203841538,1404018949893746688,ko,0,38,326,2820,183,104760,385937,5551,10981,8,False,55,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False
5,Top200RTd,SWZ_D1,2021-06-13 10:07:12+00:00,1623578832000000000,https://twitter.com/anyuser/status/1404053412728037389,1404013678802784256,ko,34,51,2858,3015,183,104760,385942,4619,8447,9,False,131,True,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False
6,Top200RTd,SWZ_D1,2021-06-13 11:26:29+00:00,1623583589000000000,https://twitter.com/anyuser/status/1404051478864547852,1403644890416779264,ko,3,119,1031,1101,8,12405,1658518,4532,24629,52,False,78,True,True,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False
7,Top200RTd,SWZ_D1,2021-06-13 11:34:12+00:00,1623584052000000000,https://twitter.com/anyuser/status/1404053176039268353,1403763223900291072,th,99,132,4435,8737,71,47292,233757,4513,3404,14,False,320,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True
8,Top200RTd,SWZ_D1,2021-06-13 09:49:24+00:00,1623577764000000000,https://twitter.com/anyuser/status/1404053416033198090,1403923459592183808,th,546,578,929,72,136,23551,439,4383,1294,36,False,211,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
9,Top200RTd,SWZ_D1,2021-06-13 09:35:34+00:00,1623576934000000000,https://twitter.com/anyuser/status/1404052716742119430,1403906346471280640,en,185,153,24515,28436,450,7386,156431,4353,11801,52,False,190,True,False,False,False,True,True,False,False,False,False,False,False,True,True,False,False,False
10,Top200RTd,SWZ_D1,2021-06-13 09:28:37+00:00,1623576517000000000,https://twitter.com/anyuser/status/1404053422609813508,1404037327031193600,en,198,488,2617,3587,147,30236,22954,4203,13152,21,False,55,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False
11,Top200RTd,SWZ_D1,2021-06-13 11:22:07+00:00,1623583327000000000,https://twitter.com/anyuser/status/1404016877760704517,1403133416657219584,th,2,100,236,757,256,56315,68704,4097,2050,8,False,318,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
12,Top200RTd,SWZ_D1,2021-06-13 11:43:23+00:00,1623584603000000000,https://twitter.com/anyuser/status/1404053403722928130,1404042088916811776,en,320,402,17203,5769,29,4794,208280,3954,11246,8,False,195,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False
13,Top200RTd,SWZ_D1,2021-06-13 11:22:20+00:00,1623583340000000000,https://twitter.com/anyuser/status/1404051829902696451,1403643793312604160,und,0,112,1315,4282,30,12981,2566788,3688,19990,0,False,57,True,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False
14,Top200RTd,SWZ_D1,2021-06-13 09:36:22+00:00,1623576982000000000,https://twitter.com/anyuser/status/1404053317043441664,1403651420704804864,ko,3317,3540,691067,105545,20,980,853,3427,6110,15,False,79,True,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
15,Top200RTd,SWZ_D1,2021-06-13 09:33:24+00:00,1623576804000000000,https://twitter.com/anyuser/status/1404045778172194819,1400041340818259968,und,381,1447,83396,109834,850,20461,22624,3360,12003,32,False,63,True,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False
16,Top200RTd,SWZ_D1,2021-06-13 09:31:48+00:00,1623576708000000000,https://twitter.com/anyuser/status/1404045153027854342,1403131572853907456,en,188,210,12112,30223,635,158470,197933,3321,9970,111,False,320,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
17,Top200RTd,SWZ_D1,2021-06-13 09:31:54+00:00,1623576714000000000,https://twitter.com/anyuser/status/1404012012229730308,1403310184043216896,in,1,31,1,5,1210,26652,8315,3256,4753,946,False,171,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
18,Top200RTd,SWZ_D1,2021-06-13 10:36:20+00:00,1623580580000000000,https://twitter.com/anyuser/status/1404053207165198342,1403665096325226496,ko,128,771,6004,12383,339,858,2536,2968,420,17,False,120,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
