,RT_SubSet,Concert,Last_RT_created_at,tweet,Last_RT_id,Last_RT_url,OriTwt_id,language,LastRT_user_followers_count,Last_RT_user_friends_count,Last_RT_user_statuses_count,Last_RT_user_favorites_count,Ori_Twt_user_friends_count,Ori_Twt_user_statuses_count,Ori_Twt_user_followers_count,Last_RT_retweet_count,Last_RT_favorite_count,Last_RT_reply_count,Shout,Tweet Length,Tweet link/media,Affection,Intensifiers,Self,Members,recording,Stills,Production,Music,Commentary,Army,Anticipation,Fanwork,Information,Stream,Spam,Commercial,Hashtag,@BTS_twt
0,Top200RTd,SWZ_D1,2021-06-13 10:24:27+00:00,Last Firework 🎆 #SOWOOZOO https://t.co/vV9vuZPUHo,1404053434681028610,https://twitter.com/anyuser/status/1404053434681028610,1404043683964473344,en,275,654,6677,14903,147,30236,22955,10482,23176,96,False,62,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,True,False
1,Top200RTd,SWZ_D1,2021-06-13 10:03:06+00:00,이사 (2021) #SOWOOZOO https://t.co/CHdKdOV2Io,1404053401491574786,https://twitter.com/anyuser/status/1404053401491574786,1404017863891906560,ko,3,46,2501,3923,183,104760,385941,6857,13497,14,False,58,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False
2,Top200RTd,SWZ_D1,2021-06-13 11:19:50+00:00,"@BTS_twt 
올림픽 주경기장 풍선이 늘었네

#SOWOOZOO #소우주 https://t.co/dg3EeFft5r",1404048740936151041,https://twitter.com/anyuser/status/1404048740936151041,1402781807288881152,ko,2225,1707,25023,29852,221,1433,195,6675,21544,71,False,79,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,True,True
3,Top200RTd,SWZ_D1,2021-06-13 09:53:21+00:00,I'm ready for watching #SOWOOZOO now!! @BTS_twt https://t.co/KZOlGHLB8e,1404053394407530499,https://twitter.com/anyuser/status/1404053394407530499,1403989912043483136,en,34,77,1417,1505,300,31627,1393448,6637,62120,666,False,86,True,False,False,True,False,False,True,False,False,False,True,True,True,False,False,False,False,True,True
4,Top200RTd,SWZ_D1,2021-06-13 11:19:36+00:00,#SOWOOZOO 중간 VCR https://t.co/R94S8Aq87r,1404053400203841538,https://twitter.com/anyuser/status/1404053400203841538,1404018949893746688,ko,0,38,326,2820,183,104760,385937,5551,10981,8,False,55,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False
5,Top200RTd,SWZ_D1,2021-06-13 10:07:12+00:00,#SOWOOZOO 오프닝 멘트 정국 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ https://t.co/1qccOTHuhr,1404053412728037389,https://twitter.com/anyuser/status/1404053412728037389,1404013678802784256,ko,34,51,2858,3015,183,104760,385942,4619,8447,9,False,131,True,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False
6,Top200RTd,SWZ_D1,2021-06-13 11:26:29+00:00,"넌 누구보다 밝게 빛나💜
#방탄소년단 #BTS #소우주 #SOWOOZOO https://t.co/NTR1ZMlJnp",1404051478864547852,https://twitter.com/anyuser/status/1404051478864547852,1403644890416779264,ko,3,119,1031,1101,8,12405,1658518,4532,24629,52,False,78,True,True,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,True,False
7,Top200RTd,SWZ_D1,2021-06-13 11:34:12+00:00,"ติดตาม @BTS_twt วันนี้ 13 มิ.ย. ใน ‘BTS 2021 MUSTER #SOWOOZOO’

◦ สตรีมเปิด 15:30น.
◦ งานเริ่ม 16:30น.
◦ จำหน่ายบัตร (รอบ 13 มิ.ย.) ถึง 17:29น.

🎟 ซื้อบัตร: https://t.co/VY38h7lYzR 
📄 รายละเอียด (🇹🇭): https://t.co/Mn5Zu7yBGS
📺 ลิงก์รับชม: https://t.co/mbkbRdLtRa

(เวลาไทย) https://t.co/ioyjfn6EVn",1404053176039268353,https://twitter.com/anyuser/status/1404053176039268353,1403763223900291072,th,99,132,4435,8737,71,47292,233757,4513,3404,14,False,320,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,True
8,Top200RTd,SWZ_D1,2021-06-13 09:49:24+00:00,"🎉แจกคอน Muster​ BTS2021​✨
✅รอบรีรันวันที่  20 ให้อาร์มี่ 1 คนค่ะ
💜รีทวิตได้เลนค่ะ
💜สุ่มวันที่19
#8YearsToInfinityWithBTS #BTS
#BTS8thAnniversary #SOWOOZOO
#หารคอนBTS https://t.co/KebSZ4JSdM",1404053416033198090,https://twitter.com/anyuser/status/1404053416033198090,1403923459592183808,th,546,578,929,72,136,23551,439,4383,1294,36,False,211,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False
9,Top200RTd,SWZ_D1,2021-06-13 09:35:34+00:00,"[eng sub] BTS FESTA CALENDAR VIDEO GIFT 
5th &amp; last emblem

RM (1)
#BTS8thAnniversary #2021BTSFESTA #8YearsToInfinityWithBTS #SOWOOZOO @BTS_twt https://t.co/vKKWnOqR1t",1404052716742119430,https://twitter.com/anyuser/status/1404052716742119430,1403906346471280640,en,185,153,24515,28436,450,7386,156431,4353,11801,52,False,190,True,False,False,False,True,True,False,False,False,False,False,False,True,True,False,False,False,True,True
